"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",24,"dully paid","used car",2346,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"vehicle",35,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",14,"delayed","new car",3973,"between 500 and 999","unemployed",1,"male","single","individual",4,"no collateral",22,"no debt","free use",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","new car",888,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",41,"bank debt","owned",1,"unskilled res",2,"no","yes","bad"
"no checking",48,"delayed","radio/tv",10222,"between 100 and 499","less than 7 years",4,"male","single","individual",3,"vehicle",37,"purchase debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",30,"duly paying","business",4221,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",1,"vehicle",28,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",18,"dully paid","furniture/equipment",6361,"between 500 and 999","more than 7 years",2,"male","single","individual",1,"no collateral",41,"no debt","owned",1,"skilled",1,"yes","yes","good"
"more than or = 200",12,"delayed","radio/tv",1297,"between 500 and 999","less than 4 years",3,"male","married/widowed","individual",4,"real estate",23,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",12,"delayed","new car",900,"between 100 and 499","less than 4 years",4,"male","married/widowed","individual",2,"vehicle",23,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",21,"delayed","furniture/equipment",2241,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"real estate",50,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",6,"critical","furniture/equipment",1050,"between 500 and 999","unemployed",4,"male","single","individual",1,"life insurance",35,"purchase debt","owned",2,"highly qualified",1,"yes","yes","good"
"more than or = 200",6,"dully paid","education",1047,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",4,"life insurance",50,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",24,"dully paid","other",6314,"between 500 and 999","unemployed",4,"male","single","co-aplicant",2,"no collateral",27,"bank debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",30,"no credits","furniture/equipment",3496,"no savingss","less than 4 years",4,"male","single","individual",2,"vehicle",34,"purchase debt","owned",1,"skilled",2,"yes","yes","good"
"no checking",48,"no credits","business",3609,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",1,"real estate",27,"purchase debt","owned",1,"skilled",1,"no","yes","good"
"negative",12,"dully paid","new car",4843,"between 500 and 999","more than 7 years",3,"male","single","co-aplicant",4,"life insurance",43,"no debt","rented",2,"skilled",1,"yes","yes","bad"
"more than or = 200",30,"dully paid","radio/tv",3017,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"life insurance",47,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",24,"dully paid","business",4139,"less than 100","less than 4 years",3,"male","single","individual",3,"life insurance",27,"no debt","owned",2,"unskilled res",1,"yes","yes","good"
"no checking",36,"delayed","business",5742,"less than 100","less than 7 years",2,"male","single","individual",2,"vehicle",31,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",60,"delayed","new car",10366,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"life insurance",42,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"no checking",6,"dully paid","new car",2080,"more than or = 1000","less than 4 years",1,"male","married/widowed","individual",2,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",21,"critical","business",2580,"more than or = 1000","less than 1 year",4,"male","single","individual",2,"real estate",41,"bank debt","owned",1,"unskilled res",2,"no","yes","bad"
"no checking",30,"dully paid","radio/tv",4530,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",4,"vehicle",26,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"no checking",24,"dully paid","furniture/equipment",5150,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",33,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",72,"delayed","radio/tv",5595,"less than 100","less than 4 years",2,"male","married/widowed","individual",2,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",24,"delayed","radio/tv",2384,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",64,"bank debt","rented",1,"unskilled res",1,"no","yes","good"
"no checking",18,"delayed","radio/tv",1453,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",1,"real estate",26,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",6,"delayed","education",1538,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",2,"no collateral",56,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",12,"delayed","radio/tv",2279,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"no collateral",37,"no debt","free use",1,"skilled",1,"yes","yes","good"
"no checking",15,"critical","radio/tv",1478,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",3,"real estate",33,"bank debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"dully paid","radio/tv",5103,"between 500 and 999","less than 1 year",3,"male","married/widowed","individual",3,"no collateral",47,"no debt","free use",3,"skilled",1,"yes","yes","good"
"less than 200",36,"critical","business",9857,"less than 100","less than 7 years",1,"male","single","individual",3,"life insurance",31,"no debt","owned",2,"unskilled res",2,"yes","yes","good"
"no checking",60,"delayed","new car",6527,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"no collateral",34,"no debt","free use",1,"skilled",2,"yes","yes","good"
"more than or = 200",10,"dully paid","radio/tv",1347,"between 100 and 499","less than 7 years",4,"male","single","individual",2,"life insurance",27,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",36,"critical","new car",2862,"less than 100","more than 7 years",4,"male","single","individual",3,"no collateral",30,"no debt","free use",1,"skilled",1,"no","yes","good"
"no checking",9,"delayed","radio/tv",2753,"less than 100","more than 7 years",3,"male","single","co-aplicant",4,"vehicle",35,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",12,"delayed","new car",3651,"no savingss","less than 4 years",1,"male","single","individual",3,"life insurance",31,"no debt","owned",1,"skilled",2,"no","yes","good"
"negative",15,"dully paid","furniture/equipment",975,"between 500 and 999","less than 4 years",2,"male","divorced","individual",3,"life insurance",25,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",15,"delayed","repairs",2631,"less than 100","less than 4 years",3,"female","unspecified","individual",2,"real estate",25,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"delayed","radio/tv",2896,"less than 100","less than 1 year",2,"male","single","individual",1,"vehicle",29,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",6,"dully paid","new car",4716,"between 100 and 499","less than 1 year",1,"male","single","individual",3,"real estate",44,"no debt","owned",2,"unskilled res",2,"no","yes","good"
"no checking",24,"delayed","radio/tv",2284,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"vehicle",28,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",6,"delayed","used car",1236,"more than or = 1000","less than 4 years",2,"male","single","individual",4,"life insurance",50,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",1103,"between 500 and 999","less than 7 years",4,"male","single","guaranteed",3,"real estate",29,"no debt","owned",2,"skilled",1,"no","no","good"
"no checking",12,"dully paid","new car",926,"between 500 and 999","unemployed",1,"female","unspecified","individual",2,"life insurance",38,"no debt","owned",1,"unskilled non-res",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",1800,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",24,"no debt","owned",2,"skilled",1,"no","yes","good"
"more than or = 200",15,"delayed","education",1905,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",40,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"no checking",12,"delayed","furniture/equipment",1123,"more than or = 1000","less than 4 years",4,"female","unspecified","individual",4,"vehicle",29,"no debt","rented",1,"unskilled res",1,"no","yes","bad"
"negative",48,"dully paid","used car",6331,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",46,"no debt","free use",2,"skilled",1,"yes","yes","bad"
"more than or = 200",24,"delayed","radio/tv",1377,"less than 100","more than 7 years",4,"female","unspecified","individual",2,"no collateral",47,"no debt","free use",1,"skilled",1,"yes","yes","good"
"less than 200",30,"critical","business",2503,"less than 100","more than 7 years",4,"male","single","individual",2,"life insurance",41,"purchase debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",27,"delayed","business",2528,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"life insurance",32,"no debt","owned",1,"skilled",2,"yes","yes","good"
"no checking",15,"delayed","new car",5324,"more than or = 1000","more than 7 years",1,"female","unspecified","individual",4,"no collateral",35,"no debt","free use",1,"skilled",1,"no","yes","good"
"less than 200",48,"delayed","new car",6560,"less than 100","less than 7 years",3,"male","single","individual",2,"life insurance",24,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",12,"duly paying","furniture/equipment",2969,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",3,"life insurance",25,"no debt","rented",2,"skilled",1,"no","yes","bad"
"less than 200",9,"delayed","radio/tv",1206,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"real estate",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",9,"delayed","radio/tv",2118,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",37,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"no checking",18,"dully paid","radio/tv",629,"more than or = 1000","more than 7 years",4,"male","single","individual",3,"life insurance",32,"bank debt","owned",2,"highly qualified",1,"yes","yes","good"
"negative",6,"no credits","education",1198,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"no collateral",35,"no debt","free use",1,"skilled",1,"no","yes","bad"
"no checking",21,"delayed","used car",2476,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"real estate",46,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",9,"dully paid","radio/tv",1138,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"real estate",25,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",60,"delayed","new car",14027,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"no collateral",27,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",30,"dully paid","used car",7596,"between 100 and 499","more than 7 years",1,"male","single","individual",4,"vehicle",63,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",30,"dully paid","radio/tv",3077,"between 100 and 499","more than 7 years",3,"male","single","individual",2,"vehicle",40,"no debt","owned",2,"skilled",2,"yes","yes","good"
"no checking",18,"delayed","radio/tv",1505,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"no collateral",32,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"more than or = 200",24,"dully paid","radio/tv",3148,"between 100 and 499","less than 4 years",3,"male","single","individual",2,"vehicle",31,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",20,"duly paying","used car",6148,"less than 100","more than 7 years",3,"male","married/widowed","individual",4,"vehicle",31,"bank debt","owned",2,"skilled",1,"yes","yes","good"
"more than or = 200",9,"duly paying","radio/tv",1337,"between 500 and 999","less than 1 year",4,"male","single","individual",2,"vehicle",34,"no debt","owned",2,"highly qualified",1,"yes","yes","bad"
"less than 200",6,"no credits","education",433,"no savingss","less than 1 year",4,"female","unspecified","individual",2,"life insurance",24,"bank debt","rented",1,"skilled",2,"no","yes","bad"
"negative",12,"delayed","new car",1228,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"real estate",24,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"less than 200",9,"delayed","radio/tv",790,"more than or = 1000","less than 4 years",4,"female","unspecified","individual",3,"real estate",66,"no debt","owned",1,"unskilled res",1,"no","yes","good"
